id	name	description
psh93	Andrei Shleifer	National Bureau of Economic Research (NBER); Harvard University -> Department of Economics (rank: 1, publications: 522)
phe22	James J. Heckman	University of Chicago -> Department of Economics (rank: 2, publications: 547)
pst33	Joseph Stiglitz	National Bureau of Economic Research (NBER); Columbia University -> School of International and Public Affairs (SIPA); Columbia University -> School of Arts and Sciences -> Department of Economics; Columbia University -> Graduate School of Business -> Finance and Economics Department (rank: 3, publications: 546)
pba251	Robert J. Barro	Harvard University -> Department of Economics (rank: 4, publications: 295)
pac16	Daron Acemoglu	Massachusetts Institute of Technology (MIT) -> Economics Department (rank: 5, publications: 523)
pti33	Jean Tirole	Toulouse School of Economics (TSE) -> Institute of Industrial Economics (rank: 6, publications: 417)
pph8	Peter C. B. Phillips	University of Southampton -> Economics Division; University of Auckland -> Business School -> Department of Economics; Singapore Management University -> School of Economics; Yale University -> Cowles Foundation for Research in Economics (rank: 7, publications: 675)
pro164	Kenneth S Rogoff	Harvard University -> Department of Economics (rank: 8, publications: 315)
plu15	Robert E. Lucas, Jr.	University of Chicago -> Department of Economics (rank: 9, publications: 114)
pca54	John Y. Campbell	National Bureau of Economic Research (NBER); Harvard University -> Department of Economics (rank: 11, publications: 339)
pbl2	Olivier Blanchard	Peter G. Peterson Institute for International Economics (IIE) (rank: 12, publications: 284)
pfa110	Eugene F. Fama, Sr.	University of Chicago -> Booth School of Business (rank: 13, publications: 76)
pni111	Peter Nijkamp	Tinbergen Institute; Rimini Centre for Economic Analysis (RCEA); VU University Amsterdam -> Faculty of Economic Sciences, Business Administration and Econometrics -> Department of Spatial Economics (rank: 14, publications: 1217)
pfe112	Martin S. Feldstein	National Bureau of Economic Research (NBER); Harvard University -> Department of Economics (rank: 15, publications: 336)
pei2	Barry Eichengreen	University of California-Berkeley -> Department of Economics (rank: 16, publications: 704)
pca271	David E. Card	Institute of Labor Economics (IZA); National Bureau of Economic Research (NBER); University of California-Berkeley -> Department of Economics (rank: 17, publications: 333)
psa83	Thomas Sargent	National Bureau of Economic Research (NBER); New York University (NYU) -> Department of Economics; Stanford University -> Hoover Institution on War Revolution & Peace (rank: 18, publications: 286)
pbl81	Richard Blundell	Centre for Economic Policy Research (CEPR); University College London (UCL) -> Department of Economics; Institute for Fiscal Studies (IFS); Institute for Fiscal Studies (IFS) -> ESRC Centre for the Microeconomic Analysis of Public Policy (CPP) (rank: 19, publications: 320)
pre33	Carmen Reinhart	Harvard University -> Kennedy School of Government (rank: 20, publications: 390)
pge11	Mark Gertler	New York University (NYU) -> Department of Economics (rank: 21, publications: 192)
pli176	john list	University of Chicago -> Department of Economics; National Bureau of Economic Research (NBER); Monash University -> Monash Business School -> Department of Economics (rank: 23, publications: 556)
ppe34	M Hashem Pesaran	University of Southern California -> Department of Economics (rank: 24, publications: 566)
pen9	Robert F. Engle	National Bureau of Economic Research (NBER); New York University (NYU) -> Stern School of Business -> Finance Department; New York University (NYU) -> Stern School of Business -> Volatility Institute (rank: 25, publications: 197)
pkr10	Paul Krugman	Princeton University -> Department of Economics; Princeton University -> Woodrow Wilson School of Public and International Affairs (rank: 26, publications: 170)
ple61	Ross Levine	University of California-Berkeley -> Walter A. Haas School of Business (rank: 27, publications: 246)
pvi218	Robert W. Vishny	University of Chicago -> Booth School of Business (rank: 28, publications: 89)
ppr10	Edward C. Prescott	Federal Reserve Bank of Minneapolis -> Research Department; Arizona State University -> W.P. Carey School of Business -> Department of Economics (rank: 29, publications: 219)
pba1	Christopher Baum	German Institute for Economic Research (DIW); Boston College -> Department of Economics (rank: 30, publications: 254)
phe205	Elhanan Helpman	Harvard University -> Department of Economics (rank: 31, publications: 342)
psu137	Lawrence H. Summers	National Bureau of Economic Research (NBER); Harvard University -> Harvard Business School; Harvard University -> Department of Economics; Harvard University -> Kennedy School of Government (rank: 32, publications: 267)
pkr63	Alan B. Krueger	Institute of Labor Economics (IZA); Princeton University -> Department of Economics -> Industrial Relations Section (rank: 33, publications: 317)
pst148	James H. Stock	Harvard University -> Department of Economics (rank: 34, publications: 114)
pra149	Raghuram G. Rajan	International Monetary Fund (IMF); University of Chicago -> Booth School of Business; Massachusetts Institute of Technology (MIT) -> Sloan School of Management; University of Chicago -> Booth School of Business -> George J. Stigler Center for the Study of the Economy and the State; University of Chicago -> Booth School of Business -> Center for Research in Security Prices (CRSP) (rank: 35, publications: 226)
poz20	Ilhan Ozturk	Cag University -> Faculty of Economics and Administrative Sciences (rank: 36, publications: 94)
pbe55	Ben S. Bernanke	Brookings Institution -> Economic Studies (rank: 37, publications: 344)
pob13	Maurice Obstfeld	International Monetary Fund (IMF) (rank: 38, publications: 318)
ptu5	Stephen J Turnovsky	University of Washington -> Department of Economics (rank: 39, publications: 409)
pha128	Robert Hall	National Bureau of Economic Research (NBER); Stanford University -> Department of Economics; Stanford University -> Hoover Institution on War Revolution & Peace (rank: 40, publications: 183)
pwo39	Jeffrey Wooldridge	Michigan State University -> Economics Department (rank: 41, publications: 192)
pwo3	Michael Woodford	Columbia University -> School of Arts and Sciences -> Department of Economics (rank: 42, publications: 216)
pma131	N. Gregory Mankiw	National Bureau of Economic Research (NBER); Harvard University -> Department of Economics (rank: 43, publications: 227)
