id	name	description
pre33	Carmen Reinhart	Harvard University -> Kennedy School of Government (rank: 1, publications: 390)
pmi73	Olivia Mitchell	National Bureau of Economic Research (NBER); University of Pennsylvania -> Wharton School of Business -> Pension Research Council (rank: 10, publications: 335)
pro86	Barbara Rossi	Barcelona Graduate School of Economics (Barcelona GSE) -> Pompeu Fabra University -> Department of Economics and Business; Barcelona Graduate School of Economics (Barcelona GSE) -> Center for Research in International Economics (CREI) (rank: 100, publications: 125)
ppe484	Barbara Petrongolo	Queen Mary University of London -> School of Economics and Finance (rank: 101, publications: 78)
plu143	Nora Lustig	Tulane University -> Department of Economics (rank: 102, publications: 181)
pfe181	Ada Ferrer-i-Carbonell	Barcelona Graduate School of Economics (Barcelona GSE) -> Institute of Economic Analysis (rank: 103, publications: 60)
pos5	Denise Osborn	University of Manchester -> School of Economics (rank: 104, publications: 165)
pca496	alessandra casella	National Bureau of Economic Research (NBER); Centre for Economic Policy Research (CEPR); Columbia University -> School of Arts and Sciences -> Department of Economics; École des Hautes Études en Sciences Sociales (EHESS) (rank: 105, publications: 110)
pqu66	Agnes Reynes Quisumbing	International Food Policy Research Institute (IFPRI) (rank: 106, publications: 176)
psz11	Ariane Szafarz	Free University of Brussels -> Solvay Brussels School of Economics and Management -> Centre Emile Bernheim; Centre for European Research in Microfinance (CERMi) (rank: 107, publications: 218)
pst602	Frances Stewart	Oxford University -> Department of International Development (Queen Elizabeth House) (rank: 108, publications: 120)
pol63	Claudia Olivetti	National Bureau of Economic Research (NBER); Boston College -> Department of Economics (rank: 109, publications: 96)
pca108	Anne Case	Princeton University -> Department of Economics; National Bureau of Economic Research (NBER); Princeton University -> Woodrow Wilson School of Public and International Affairs; Princeton University -> Woodrow Wilson School of Public and International Affairs -> Research Program in Development Studies (rank: 11, publications: 152)
pfo101	Nicole M. Fortin	University of British Columbia -> Vancouver School of Economics (rank: 110, publications: 56)
psp2	Barbara Spencer	National Bureau of Economic Research (NBER); Rimini Centre for Economic Analysis (RCEA); University of British Columbia -> Sauder School of Business -> Strategy and Business Economics Division (rank: 111, publications: 62)
pde113	Gabrielle Demange	Paris School of Economics (rank: 112, publications: 167)
ped1	Hali Edison	International Monetary Fund (IMF) (rank: 113, publications: 84)
pma855	Maria Soledad Martinez Peria	World Bank Group -> Economics Research (rank: 114, publications: 82)
pru237	Elisabet Rutstrom	Georgia State University -> J. Mack Robinson College of Business; Georgia State University -> Andrew Young School of Policy Studies -> Department of Economics -> Experimental Economics Center (rank: 115, publications: 76)
pdo88	Sheila Christine Dow	University of Victoria -> Department of Economics; University of Stirling -> Stirling Management School -> Economics Division (rank: 116, publications: 117)
pkl29	Catherine Louise Kling	Iowa State University -> Department of Economics; Iowa State University -> Center for Agricultural and Rural Development (CARD) (rank: 117, publications: 236)
pwa346	Jessica A. Wachter	University of Pennsylvania -> Wharton School of Business -> Finance Department (rank: 118, publications: 46)
pde51	Mariacristina De Nardi	National Bureau of Economic Research (NBER); University College London (UCL) -> Department of Economics; Federal Reserve Bank of Chicago -> Economic Research Department (rank: 119, publications: 85)
