#DESCRIPTION: RePEc-ShortID properties for wikidata from en.wikipedia via dbpedia
#CREATOR: ZBW - Leibniz Information Centre for Economics
#CONTACT: j.neuberti@zbw.eu
#HOMEPAGE: http://zbw.eu
#TIMESTAMP: 2016-12-22
#PREFIX: http://www.wikidata.org/entity/
#ANNOTATION: RePEC author name
#TARGET: https://authors.repec.org/pro/
#WDTARGETPROPERTY: P2428

Q353915|David D. Friedman|pfr16
Q312561|James Heckman|phe22
Q192592|Kenneth Arrow|par7
Q132489|Amartya Sen|pse23
Q107264|Robert Lucas|plu15
Q295647|Myron Scholes|psc29
Q219721|Robert Mundell|pmu18
Q157268|Robert Solow|pso18
Q295717|Vernon L. Smith|psm12
Q222541|George Akerlof|pak7
Q232062|Oliver E. Williamson|pwi200
Q943121|Bryan Caplan|pca389
Q157245|Michael Spence|psp7
Q359317|Eugene Fama|pfa110
Q131112|Paul Krugman|pkr10
Q547031|Steve Keen|pke123
Q210960|Gérard Debreu|pde34
Q2301662|Gene Callahan|pca539
Q43969|Muhammad Yunus|pyu122
Q2664975|Erik S. Reinert|pre309
Q272508|Harry Markowitz|pma73
Q920476|J. Bradford DeLong|pde392
Q206460|Thomas Schelling|psc152
Q1681976|Jan Kregel|pkr97
Q176643|James Mirrlees|pmi20
Q371212|Richard Thaler|pth67
Q21229533|Sally R. Osberg|pth67
Q1687835|Jerry A. Hausman|pha893
Wide character in print at create_dbpedia_beacon.pl line 60.
Q313923|Nouriel Roubini|pro145
Q1904913|Martin Feldstein|pfe112
Q312585|Edward C. Prescott|ppr10
Q211097|Finn E. Kydland|pky2
Q1108379|Colin Camerer|pca47
Q295653|Robert F. Engle|pen9
Q520631|William Baumol|pba92
Q730969|Steven Levitt|ple59
Q5236286|David Laibson|pla164
Q709188|Kevin M. Murphy|pmu108
Q2799963|Ricardo Reis|pre73
Q559838|Dani Rodrik|pro60
Q439687|Robert Barro|pba251
Q502557|Andrei Shleifer|psh93
Q967487|John B. Taylor|pta174
Q1400143|Matthew Rabin|pra660
Q107964|Thomas J. Sargent|psa83
Q179735|János Kornai|pko198
Q1001839|François Bourguignon|pbo225
Q335441|Nicholas Stern, Baron Stern of Brentford|pst130
Q980406|Roland G. Fryer, Jr.|pfr43
Q659305|Ariel Rubinstein|pru8
Q732476|Xavier Sala-i-Martin|psa510
Q3849567|Mark Thornton|pth58
Q192566|Edmund Phelps|pph34
Q955794|Kenneth Rogoff|pro164
Q718581|Daron AcemoÄŸlu|pac16
Q2165686|Ronald MacDonald|pma235
Q7345891|Robert J. Gordon|pgo50
Q6134371|James G. MacKinnon|pma63
Q8030112|Wolfgang Pesendorfer|ppe7
Q739274|Assar Lindbeck|pli332
Q7296629|Ravi Jagannathan|pja91
Q1173928|David Card|pca271
Q515334|Jonathan Levin|ple318
Q7365149|Ronald Oaxaca|poa2
Q1292350|Edward Glaeser|pgl9
Q1164735|Danny Quah|pqu9
Q689785|Hal Varian|pva5
Q1374385|Kenneth French|pfr33
Q738810|Sanford J. Grossman|pgr108
Q6775069|Martin Browning|pbr221
Q157235|Robert Aumann|pau21
Q5568962|Glenn Loury|plo117
Q791030|Avinash Dixit|pdi79
Q2156948|Robert Hall|pha128
Q109582|Christopher A. Pissarides|ppi12
Q5541802|George Loewenstein|plo51
Q1386049|Lars Peter Hansen|pha303
Q1503000|Geoffrey Hodgson|pho91
Q709764|Justin Yifu Lin|pli54
Q3482341|Barry Nalebuff|pna205
Q2148674|Ricardo Hausmann|pha552
Q241094|Olivier Blanchard|pbl2
Q809032|Barry Eichengreen|pei2
Q1585807|Harold Demsetz|pde131
Q562481|William Nordhaus|pno115
Q981496|Raghuram Rajan|pra149
Q6504124|Lawrence H. White|pwh9
Q5626020|Gérard Roland|pro20
Q3813195|George Selgin|pse331
Q78655|Ernst Fehr|pfe29
Q2074245|Peter C. B. Phillips|pph8
Q1239686|Donald Andrews|pan30
Q564905|Anthony Barnes Atkinson|pat36
Q173994|Jean Tirole|pti33
Q1363281|Peter Boettke|pbo185
Q2099975|Willem Buiter|pbu137
Q4493811|Ray Fair|pfa24
Q5240657|David Vines|pvi147
Q72896|Hans-Werner Sinn|psi146
Q2856393|Mohammad Hashem Pesaran|ppe34
Q3522869|Kaushik Basu|pba464
Q222122|Dean Baker|pba441
Q952278|William Easterly|pea1
Q109737|Christopher A. Sims|psi12
Q4236051|Laurence Kotlikoff|pko44
Q8003900|William A. Barnett|pba28
Q32729|Ha-Joon Chang|pch741
Q5693749|Heather Boushey|pbo207
Q1635006|Michael Kremer|pkr20
Q531214|Charles Plosser|ppl11
Q2918422|Tim Besley|pbe46
Q5428232|Fabrizio Zilibotti|pzi3
Q109570|Peter Diamond|pdi24
Q574968|William A. Brock|pbr142
Q1261927|Tim Bollerslev|pbo66
Q2460494|Anders Åslund|pas122
Q256745|Dale W. Jorgenson|pjo23
Q5045105|Caroline Hoxby|pho46
Q5563834|Giovanni Dosi|pdo10
Q7346360|Robert King|pki21
Q3298562|Mathias Dewatripont|pde423
Q5478964|Frances Stewart|pst602
Q3435043|Robert Ekelund|pek2
Q212706|Allan H. Meltzer|pme353
Q4073448|Orley Ashenfelter|pas9
Q5040075|Carl E. Walsh|pwa23
Q1040595|Carl Shapiro|psh275
Q15459431|Jonathan Nitzan|pni2
Q157262|Leonid Hurwicz|phu171
Q7325410|Richard E. Wagner|pwa567
Q1964486|Nancy Folbre|pfo119
Q468053|Susan Athey|pat6
Q7402980|Sakiko Fukuda-Parr|pfu69
Q717034|Maurice Obstfeld|pob13
